Assignments/assignment1.pdf	1
Assignments/assignment2.pdf	1
Assignments/assignment3.pdf	2
Assignments/assignment4.pdf	2
Assignments/assignment5.pdf	1
Assignments/assignment6.pdf	5
Assignments/assignment7.pdf	4
Assignments/assignment8.pdf	5
Assignments/assignment9.pdf	5
Exam-2/exam2-cover.pdf	1
Exam-3/exam3_cover_CS4134_Spring2026_25March2026-1.pdf	1
Exam-4/exam4-cover.pdf	1
Exam-5/exam5_cover_CS4134_Spring2026_1May2026.pdf	1
Lectures/entanglement(II).pdf	12
Lectures/entanglement(III).pdf	10
Lectures/linear-algebra(II).pdf	9
Lectures/linear-algebra(III)+quantum-gates.pdf	9
Lectures/linear-algebra.pdf	8
Lectures/measurements(II).pdf	10
Lectures/measurements(III)+entanglement.pdf	12
Lectures/quantum-algorithms(I).pdf	5
Lectures/quantum-algorithms(II).pdf	7
Lectures/quantum-algorithms(III).pdf	9
Lectures/quantum-gates(II)+measurements.pdf	10
Lectures/quantum-gates.pdf	10
Lectures/superdense-coding.pdf	10
Lectures/teleportation.pdf	8
Lectures/universal-gate-sets-noise-in-quantum-computing.pdf	8
Past-Exams/Test1.pdf	6
Past-Exams/Test2.pdf	8
Past-Exams/Test3.pdf	6
Past-Exams/Test4.pdf	6
problem_bank.pdf	22
